"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andaman & Nicobar","North And Middle Andaman","2022-08-21","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-22","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-01","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-24","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-08-23","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-25","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-26","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-27","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-28","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-29","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-30","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-31","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-02","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-03","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-04","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-05","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-06","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-07","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-08","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-09","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-10","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-11","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-12","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-13","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-14","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-15","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-16","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-17","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-18","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-19","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-20","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-21","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-22","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-01","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-23","2022","08","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-08-24","2022","08","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-25","2022","08","2.2660653188","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-26","2022","08","3.6003895319","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-27","2022","08","4.1662433108","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-28","2022","08","4.707341619","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-29","2022","08","4.7785800329","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-30","2022","08","4.7086040739","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-31","2022","08","4.6143311802","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-01","2022","08","4.0621017478","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-02","2022","08","5.265178566","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-03","2022","08","4.6933533749","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-04","2022","08","4.4656433916","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-05","2022","08","4.3078793641","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-06","2022","08","3.0539358595","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-07","2022","08","4.1775376135","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-08","2022","08","3.9016085541","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-09","2022","08","4.1716629419","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-10","2022","08","4.3334933845","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-11","2022","08","4.3744430106","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-12","2022","08","4.40102641","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-13","2022","08","4.3568166917","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-14","2022","08","3.8901361397","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-15","2022","08","3.9979412109","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-16","2022","08","4.2010073927","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-17","2022","08","4.2729349199","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-18","2022","08","4.0602196803","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-19","2022","08","3.4582129745","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-20","2022","08","3.3675794023","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-21","2022","08","3.1357930652","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-22","2022","08","3.3595642312","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-23","2022","08","3.1603822687","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-08-24","2022","08","2.7217236425","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-25","2022","08","3.2850250799","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-26","2022","08","3.8247800229","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-27","2022","08","5.2816090431","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-28","2022","08","4.8321750988","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-29","2022","08","4.7349339955","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-30","2022","08","4.3954414327","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-31","2022","08","3.9730645687","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-01","2022","08","3.9024445972","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-02","2022","08","4.248704211","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-03","2022","08","3.7757087445","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-04","2022","08","3.5573462407","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-05","2022","08","3.5491600812","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-06","2022","08","3.4901870902","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-07","2022","08","4.0645345646","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-08","2022","08","3.8710785619","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-09","2022","08","3.9150210113","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-10","2022","08","4.1376545048","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-11","2022","08","4.2085585776","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-12","2022","08","3.8410468582","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-13","2022","08","3.7742354192","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-14","2022","08","3.2383359141","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-15","2022","08","3.0492247102","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-16","2022","08","3.7826559247","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-17","2022","08","4.2984886271","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-18","2022","08","4.0872255944","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-19","2022","08","3.2587783326","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-20","2022","08","3.2768675621","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-21","2022","08","3.1951251248","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-22","2022","08","3.7336150842","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-23","2022","08","3.2792447801","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-08-24","2022","08","2.79012756","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-25","2022","08","5.3523344784","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-26","2022","08","4.9852105316","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-27","2022","08","4.2223617066","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-28","2022","08","4.0998826788","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-29","2022","08","3.9318359381","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-30","2022","08","4.6703393494","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-31","2022","08","3.9146773418","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-01","2022","08","4.2340294773","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-02","2022","08","5.4649984727","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-03","2022","08","5.131885384","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-04","2022","08","4.0251771052","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-05","2022","08","3.8963604455","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-06","2022","08","4.0450774624","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-07","2022","08","4.7316248283","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-08","2022","08","4.0302136612","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-09","2022","08","4.0503600896","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-10","2022","08","4.3080411446","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-11","2022","08","4.4789250332","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-12","2022","08","4.2240041733","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-13","2022","08","3.7836749308","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-14","2022","08","2.2791535765","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-15","2022","08","4.7956905412","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-16","2022","08","4.7943809765","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-08-17","2022","08","4.5441799975","NRSC VIC MODEL"
